"","l1","l2","Training CC","Test CC","CC Pred. Error"
"2",0.1,0.05,1.75661,1.61408,0.142532086799679
"3",0.15,0.05,1.80385,1.58886,0.214993445336717
"4",0.2,0.05,1.82712,1.54261,0.284512065052321
"5",0.25,0.05,1.84498,1.49492,0.350057578769912
"6",0.3,0.05,1.85383,1.42439,0.429444700555799
"8",0.1,0.1,1.76967,1.60912,0.160549077062528
"9",0.15,0.1,1.81104,1.58497,0.226063008343076
"10",0.2,0.1,1.8328,1.5481,0.284701336317046
"11",0.25,0.1,1.84844,1.49737,0.35106792247822
"12",0.3,0.1,1.84942,1.44205,0.407366234923005
"14",0.1,0.15,1.89794,1.54165,0.356285302084355
"15",0.15,0.15,1.92627,1.51121,0.415064294394317
"16",0.2,0.15,1.94023,1.45352,0.486719253112534
"17",0.25,0.15,1.94827,1.42287,0.525406736047989
"18",0.3,0.15,1.95556,1.38169,0.573868628645575
"21",0.15,0.2,2.01575,1.44846,0.567290537084973
"22",0.2,0.2,2.03424,1.39348,0.640760991301669
"23",0.25,0.2,2.03483,1.35186,0.68296905280409
"24",0.3,0.2,2.0459,1.30762,0.738273571304905
"27",0.15,0.25,2.10501,1.34859,0.756410276710195
"28",0.2,0.25,2.10745,1.32043,0.787028380025794
"29",0.25,0.25,2.10445,1.29823,0.806217555452259
"30",0.3,0.25,2.10633,1.24366,0.862676674058608
"34",0.2,0.3,2.15294,1.25404,0.898899030950825
"35",0.25,0.3,2.15463,1.22198,0.932646639229007
"36",0.3,0.3,2.15744,1.17989,0.977545496690698
