"l1","l2","RhoTrain","RhoTest","DeltaCor","scaledPredError"
0.1,0.1,2.14318,2.02158333333333,0.307391683445192,0.152054915756722
0.2,0.1,2.2989,1.93714333333333,0.361754078184272,0.186746159646217
0.3,0.1,2.37110333333333,1.80218,0.568921240178302,0.315685026011998
0.4,0.1,2.22683666666667,1.28153333333333,0.945301341414821,0.737633050055783
0.5,0.1,2.25767666666667,1.16121666666667,1.0964606021809,0.944234296368094
0.1,0.2,2.43918333333333,1.90321666666667,0.535967341663188,0.281611311549669
0.2,0.2,2.55392,1.82747,0.726446862366413,0.397515068573719
0.3,0.2,2.60678666666667,1.70847333333333,0.898314743330625,0.52579968665824
0.4,0.2,2.64146666666667,1.55335333333333,1.08811484488433,0.700494099786914
0.5,0.2,2.66288666666667,1.42003333333333,1.24284905744196,0.875225269905843
0.1,0.3,2.60386333333333,1.77073333333333,0.833129779692952,0.470499856759696
0.2,0.3,2.69988,1.66363666666667,1.0362453685286,0.62287961625952
0.3,0.3,2.73823333333333,1.56069333333333,1.17754182690123,0.754499171458772
0.4,0.3,2.76045333333333,1.42060666666667,1.33984527088009,0.943150065615222
0.5,0.3,2.77349666666667,1.30335666666667,1.47013695032324,1.12796212113076
0.1,0.4,2.70379666666667,1.66517333333333,1.03862608747807,0.62373451861552
0.2,0.4,2.78758333333333,1.53718,1.25040615258107,0.813441596027189
0.3,0.4,2.81327333333333,1.42781666666667,1.38545826258002,0.970333443308562
0.4,0.4,2.82704333333333,1.28491666666667,1.54212907836764,1.200178282665
0.5,0.4,2.83129666666667,1.18509333333333,1.64619946322611,1.38908845145202
0.1,0.5,2.7633,1.58129666666667,1.18200000608384,0.747487825023665
0.2,0.5,2.84555333333333,1.45945666666667,1.38609299029164,0.949732199625642
0.3,0.5,2.86642666666667,1.34677666666667,1.51965175943792,1.1283621086183
0.4,0.5,2.87227333333333,1.213,1.65927266344475,1.36790821388685
0.5,0.5,2.87089333333333,1.12185666666667,1.74903784292501,1.55905642395642
